       text0   text1   text2   text3   text4   text5   text6   text7   text8   text9   text10  text11  text12  text13  text14  text15  text16  text17  text18  text19  text20  text21  text22  text23  text24  text25  text26  text27  text28  text29  text30  text31  text32  text33  text34  text35  text36  text37  text38  text39  text40  text41  text42  text43  text44  text45  text46  text47
       ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------  ------
text19|                                                                                                                                                                0.05    0.05    0.00    0.00    0.08    0.05    0.08    0.00    0.08    0.08    0.08    0.08    0.00    0.00    0.05    0.05    0.05    0.00    0.05    0.05    0.05    0.00    0.00    0.22    0.00    0.00    0.00    0.00  
text20|                                                                                                                                                                        0.59    0.00    0.00    0.11    0.24    0.11    0.03    0.08    0.08    0.08    0.11    0.00    0.00    0.08    0.16    0.05    0.00    0.08    0.16    0.05    0.00    0.00    0.08    0.00    0.00    0.00    0.00  
text21|                                                                                                                                                                                0.00    0.00    0.11    0.27    0.11    0.00    0.08    0.08    0.08    0.08    0.00    0.00    0.05    0.14    0.05    0.00    0.05    0.14    0.05    0.00    0.00    0.08    0.00    0.00    0.00    0.00  
text22|                                                                                                                                                                                        0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
text23|                                                                                                                                                                                                0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00  
text24|                                                                                                                                                                                                        0.19    0.97    0.05    0.54    0.51    0.62    0.59    0.00    0.00    0.38    0.30    0.16    0.00    0.38    0.30    0.16    0.00    0.00    0.08    0.00    0.00    0.00    0.00  
text25|                                                                                                                                                                                                                0.19    0.00    0.14    0.14    0.14    0.14    0.00    0.00    0.05    0.11    0.05    0.00    0.05    0.11    0.05    0.00    0.00    0.08    0.00    0.00    0.00    0.00  
text26|                                                                                                                                                                                                                        0.08    0.54    0.51    0.59    0.59    0.00    0.00    0.38    0.30    0.16    0.00    0.38    0.30    0.16    0.00    0.00    0.08    0.00    0.00    0.00    0.00  
text27|                                                                                                                                                                                                                                0.00    0.00    0.03    0.03    0.00    0.00    0.08    0.11    0.00    0.00    0.08    0.11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  
text28|                                                                                                                                                                                                                                        0.97    0.65    0.68    0.00    0.00    0.35    0.32    0.19    0.00    0.35    0.32    0.19    0.00    0.00    0.08    0.00    0.00    0.00    0.00  
